지방청,관서,발생건수(2014년)
서울,서울중부경찰서,"8,049"
서울,서울종로경찰서,"6,824"
서울,서울남대문경찰서,"6,572"
서울,서울서대문경찰서,"10,760"
서울,서울혜화경찰서,"6,943"
서울,서울용산경찰서,"10,952"
서울,서울성북경찰서,"6,389"
서울,서울동대문경찰서,"12,537"
서울,서울마포경찰서,"14,750"
서울,서울영등포경찰서,"19,076"
서울,서울성동경찰서,"9,634"
서울,서울동작경찰서,"10,494"
서울,서울광진경찰서,"14,669"
서울,서울서부경찰서,"5,517"
서울,서울강북경찰서,"10,550"
서울,서울금천경찰서,"12,308"
서울,서울중랑경찰서,"12,498"
서울,서울강남경찰서,"21,092"
서울,서울관악경찰서,"15,814"
서울,서울강서경찰서,"15,121"
서울,서울강동경찰서,"13,014"
서울,서울종암경찰서,"5,653"
서울,서울구로경찰서,"14,377"
서울,서울서초경찰서,"15,581"
서울,서울양천경찰서,"12,690"
서울,서울송파경찰서,"20,028"
서울,서울노원경찰서,"12,562"
서울,서울방배경찰서,"4,644"
서울,서울은평경찰서,"7,274"
서울,서울도봉경찰서,"7,561"
서울,서울수서경찰서,"12,058"
부산,부산지방경찰청,6
부산,부산중부경찰서,"4,871"
부산,부산동래경찰서,"10,019"
부산,부산영도경찰서,"3,589"
부산,부산동부경찰서,"6,245"
부산,부산진경찰서,"18,210"
부산,부산서부경찰서,"4,619"
부산,부산남부경찰서,"14,696"
부산,부산해운대경찰서,"13,838"
부산,부산사상경찰서,"10,675"
부산,부산금정경찰서,"9,272"
부산,부산사하경찰서,"10,567"
부산,부산연제경찰서,"9,792"
부산,부산강서경찰서,"4,325"
부산,부산북부경찰서,"8,256"
부산,부산기장경찰서,"4,775"
대구,대구중부경찰서,"8,476"
대구,대구동부경찰서,"13,588"
대구,대구서부경찰서,"9,324"
대구,대구남부경찰서,"7,497"
대구,대구북부경찰서,"7,720"
대구,대구수성경찰서,"14,039"
대구,대구달서경찰서,"9,075"
대구,대구성서경찰서,"13,160"
대구,대구달성경찰서,"5,532"
대구,대구강북경찰서,"7,342"
인천,인천중부경찰서,"9,400"
인천,인천남부경찰서,"17,173"
인천,인천남동경찰서,"16,689"
인천,인천부평경찰서,"9,664"
인천,인천삼산경찰서,"7,613"
인천,인천서부경찰서,"14,630"
인천,인천계양경찰서,"9,352"
인천,인천연수경찰서,"7,991"
인천,인천강화경찰서,"1,698"
광주,광주동부경찰서,"6,938"
광주,광주서부경찰서,"16,445"
광주,광주남부경찰서,"7,256"
광주,광주북부경찰서,"18,252"
광주,광주광산경찰서,"15,931"
대전,대전중부경찰서,"9,658"
대전,대전동부경찰서,"8,532"
대전,대전서부경찰서,"6,554"
대전,대전대덕경찰서,"5,756"
대전,대전둔산경찰서,"17,065"
울산,울산중부경찰서,"12,245"
울산,울산남부경찰서,"13,768"
울산,울산동부경찰서,"7,059"
울산,울산울주경찰서,"8,095"
경기,경기수원중부경찰서,"12,973"
경기,경기수원남부경찰서,"17,635"
경기,경기수원서부경찰서,"10,225"
경기,경기안양동안경찰서,"9,586"
경기,경기안양만안경찰서,"8,353"
경기,경기군포경찰서,"7,638"
경기,경기성남수정경찰서,"8,412"
경기,경기성남중원경찰서,"9,687"
경기,경기분당경찰서,"12,717"
경기,경기부천소사경찰서,"6,914"
경기,경기부천원미경찰서,"21,196"
경기,경기부천오정경찰서,"6,346"
경기,경기의정부경찰서,"15,593"
경기,경기고양경찰서,"13,406"
경기,경기일산경찰서,"17,673"
경기,경기광명경찰서,"9,693"
경기,경기안산단원경찰서,"15,138"
경기,경기안산상록경찰서,"11,612"
경기,경기시흥경찰서,"17,081"
경기,경기평택경찰서,"19,897"
경기,경기남양주경찰서,"15,122"
경기,경기화성동부경찰서,"15,336"
경기,경기화성서부경찰서,"9,287"
경기,경기용인동부경찰서,"12,995"
경기,경기용인서부경찰서,"7,407"
경기,경기광주경찰서,"9,086"
경기,경기파주경찰서,"13,671"
경기,경기김포경찰서,"9,631"
경기,경기과천경찰서,"1,755"
경기,경기의왕경찰서,"3,439"
경기,경기양주경찰서,"6,969"
경기,경기동두천경찰서,"3,814"
경기,경기구리경찰서,"7,354"
경기,경기하남경찰서,"4,614"
경기,경기이천경찰서,"7,187"
경기,경기포천경찰서,"6,812"
경기,경기안성경찰서,"6,676"
경기,경기여주경찰서,"3,927"
경기,경기양평경찰서,"2,874"
경기,경기가평경찰서,"3,104"
경기,경기연천경찰서,"1,555"
강원,강원춘천경찰서,"10,609"
강원,강원강릉경찰서,"7,363"
강원,강원원주경찰서,"12,834"
강원,강원동해경찰서,"3,242"
강원,강원태백경찰서,"1,301"
강원,강원속초경찰서,"4,319"
강원,강원삼척경찰서,"2,452"
강원,강원영월경찰서,"1,020"
강원,강원정선경찰서,"1,587"
강원,강원홍천경찰서,"2,365"
강원,강원평창경찰서,"1,401"
강원,강원횡성경찰서,"1,351"
강원,강원고성경찰서,"1,007"
강원,강원인제경찰서,863
강원,강원철원경찰서,"1,029"
강원,강원화천경찰서,502
강원,강원양구경찰서,477
충북,충북청주흥덕경찰서,"12,166"
충북,충북청주상당경찰서,"7,083"
충북,충북청주청원경찰서,"7,695"
충북,충북충주경찰서,"7,130"
충북,충북제천경찰서,"4,850"
충북,충북영동경찰서,"1,119"
충북,충북괴산경찰서,"2,011"
충북,충북단양경찰서,820
충북,충북보은경찰서,824
충북,충북옥천경찰서,"1,367"
충북,충북음성경찰서,"3,450"
충북,충북진천경찰서,"2,342"
충남,충남천안서북경찰서,"13,879"
